scene,sequence,mps,density,frame_count,split
Zurich_Airport,Zurich_airpoit_toward_gates,mps_Zurich_airpoit_toward_gates_vrs,High,5323,train
Zurich_Airport,Zurich_airpoit_towards_checkin1,mps_Zurich_airpoit_towards_checkin1_vrs,Medium,1864,train
Zurich_Airport_part2,Zurich_airpoit_arrival2_entrance,mps_Zurich_airpoit_arrival2_entrance_vrs,High,2505,val
Zurich_Airport_part2,Zurich_airpoit_checkin2_large_loop,mps_Zurich_airpoit_checkin2_large_loop_vrs,High,9682,train
Zurich_Airport_part2,Zurich_airpoit_entrance_checkin1_short_traj,mps_Zurich_airpoit_entrance_checkin1_short_traj_vrs,Medium,1200,val
Zurich_Airport_part2,Zurich_airpoit_shopping_loop,mps_Zurich_airpoit_shopping_loop_vrs,High,4681,test
Zurich_Airport_part2,Zurich_airpoit_shopping_semi_loop,mps_Zurich_airpoit_shopping_semi_loop_vrs,High,5711,train
Zurich_Airport_part2,Zurich_airpoit_short_loop,mps_Zurich_airpoit_short_loop_vrs,Low,1384,test
Zurich_Airport_part2,Zurich_airpoit_towards_circle,mps_Zurich_airpoit_towards_circle_vrs,Medium,3794,train
Zurich_Airport_part2,Zurich_airpoit_turn180_degred,mps_Zurich_airpoit_turn180_degred_vrs,High,1407,val
Zurich_HB,Cafe_exit,mps_Cafe_exit_vrs,High,3350,val
Zurich_HB,G8_cafe,mps_G8_cafe_vrs,High,7632,train
Zurich_HB,Ground_53,mps_Ground_53_vrs,High,1842,test
Zurich_HB,Kiko_loop,mps_Kiko_loop_vrs,High,10527,train
Zurich_HB,Mainentrance_reservstionofgice,mps_Mainentrance_reservstionofgice_vrs,High,2646,val
Zurich_HB,Orell_strait,mps_Orell_strait_vrs,High,2303,val
Zurich_HB,Reservation_G17,mps_Reservation_G17_vrs,High,3320,val
Zurich_HB,Short_Loop,mps_Short_Loop_vrs,High,4498,train
